Country Name,Country_Code,Indicator Name,Indicator Code,year,GDP_capita
Aruba,ABW,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,36015.07046
Andorra,AND,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,
Angola,AGO,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,6949.021848
Albania,ALB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,9640.130812
Arab World,ARB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,14579.14701
Qatar,QAT,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2011,134117.4309
Argentina,ARG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,
Armenia,ARM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,6803.482997
American Samoa,ASM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,19987.92414
Australia,AUS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,41763.11851
Austria,AUT,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,44022.39527
Azerbaijan,AZE,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,15754.15236
Burundi,BDI,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,712.6704834
Belgium,BEL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,40858.72517
Benin,BEN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,1761.574331
Burkina Faso,BFA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,1470.435184
Bangladesh,BGD,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,2579.335048
Bulgaria,BGR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,15603.0255
Bahrain,BHR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,39676.71702
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,22665.16756
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,9265.015888
Belarus,BLR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,16603.38953
Belize,BLZ,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,7857.224198
Bermuda,BMU,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,54984.51039
Bolivia,BOL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,5598.566773
Brazil,BRA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,14830.89956
Barbados,BRB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,15401.54965
Brunei Darussalam,BRN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,73265.12163
Bhutan,BTN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,6882.688407
Botswana,BWA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,13634.26789
Central African Republic,CAF,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,893.6794586
Canada,CAN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,41567.43177
Central Europe and the Baltics,CEB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,21839.73015
Switzerland,CHE,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,54550.68937
Channel Islands,CHI,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,
Chile,CHL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,20266.03603
China,CHN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,10274.49435
Cote d'Ivoire,CIV,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,2546.906812
Cameroon,CMR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,2614.495561
"Congo, Rep.",COG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,5632.435875
Colombia,COL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,11496.52725
Comoros,COM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,1347.797753
Cabo Verde,CPV,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,6147.974534
Costa Rica,CRI,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,13072.14256
Caribbean small states,CSS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,14221.76962
Cuba,CUB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,18924.76327
Curacao,CUW,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,
Cayman Islands,CYM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,49902.14655
Cyprus,CYP,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,32983.11391
Czech Republic,CZE,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,28604.21266
Germany,DEU,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,42142.5489
Djibouti,DJI,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,2782.971292
Dominica,DMA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,10189.39821
Denmark,DNK,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,43314.05636
Dominican Republic,DOM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,11375.62039
Algeria,DZA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,13026.19166
East Asia & Pacific (developing only),EAP,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,9485.823983
East Asia & Pacific (all income levels),EAS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,12398.90926
