group,event,value
ass,barrel_bomb,528
ass,battle,2562
ass,shelling,1297
ass,chemical,128
ass,air_strike,1143
ass,massacre,1223
hzb,barrel_bomb,0
hzb,battle,44
hzb,shelling,24
hzb,chemical,5
hzb,air_strike,4
hzb,massacre,12
is,barrel_bomb,1
is,battle,30
is,shelling,11
is,chemical,0
is,air_strike,5
is,massacre,16
russia,barrel_bomb,17
russia,battle,108
russia,shelling,24
russia,chemical,14
russia,air_strike,25
russia,massacre,25
ypg,barrel_bomb,0
ypg,battle,8
ypg,shelling,2
ypg,chemical,0
ypg,air_strike,25
ypg,massacre,5
ic,barrel_bomb,0
ic,battle,24
ic,shelling,11
ic,chemical,0
ic,air_strike,9
ic,massacre,0
