date,battle,air_strike,direct_attack,barrel_bomb,shelling,chemical
2011-04-01,14,0,36,0,2,0
2011-05-01,31,0,106,0,3,0
2011-06-01,76,0,93,0,2,0
2011-07-01,51,0,29,0,3,0
2011-08-01,11,0,10,0,19,0
2011-09-01,10,0,15,0,3,1
2011-10-01,40,3,101,0,51,0
2011-11-01,8,1,17,0,4,0
2011-12-01,24,1,35,0,10,0
2012-01-01,13,3,94,0,44,0
2012-02-01,241,10,473,0,212,0
2012-03-01,79,19,427,0,133,0
2012-04-01,12,1,91,0,23,0
2012-05-01,5,0,5,0,12,0
2012-06-01,58,32,266,0,421,0
2012-07-01,94,62,462,2,755,1
2012-08-01,112,117,603,1,974,1
2012-09-01,122,150,807,3,1279,0
2012-10-01,168,247,685,38,1379,0
2012-11-01,135,339,431,5,1472,1
2012-12-01,251,330,542,20,1561,9
2013-01-01,205,268,552,11,1126,3
2013-02-01,162,174,400,4,846,3
2013-03-01,85,36,270,3,595,14
2013-04-01,96,61,297,5,799,24
2013-05-01,89,57,115,3,413,20
2013-06-01,140,92,134,0,612,26
2013-07-01,21,16,48,2,88,16
2013-08-01,47,13,61,2,67,89
2013-09-01,50,33,48,5,146,49
2013-10-01,22,13,27,1,72,3
2013-11-01,44,14,29,0,66,0
2013-12-01,95,7,87,4,40,4
2014-01-01,46,34,49,38,110,6
2014-02-01,45,41,21,60,116,0
2014-03-01,90,55,61,31,156,7
2014-04-01,68,67,27,23,173,5
2014-05-01,68,45,27,45,126,3
2014-06-01,49,45,36,28,92,1
2014-07-01,63,53,28,32,92,0
2014-08-01,37,32,15,7,50,0
2014-09-01,0,0,0,0,0,0
2014-10-01,0,0,0,0,0,0
2014-11-01,2,5,5,2,8,0
2014-12-01,136,61,27,12,33,0
2015-01-01,426,97,42,28,83,0
2015-02-01,367,77,59,37,67,0
2015-03-01,370,90,70,43,77,23
2015-04-01,261,190,93,85,114,13
2015-05-01,238,150,88,103,65,2
2015-06-01,201,90,76,74,65,1
2015-07-01,205,149,80,80,65,0
2015-08-01,130,142,70,26,46,12
2015-09-01,25,1,7,2,8,1
2015-10-01,21,6,3,3,1,0
2015-11-01,27,9,5,4,5,0
2015-12-01,19,1,4,5,2,0
2016-01-01,14,2,5,4,1,0
2016-02-01,18,2,7,7,8,2
2016-03-01,30,0,3,4,2,2
