date,day,month,year,air_strike,battle,barrel_bomb,intervention,shelling,chemical,agreement,massacre
2011-04-01,1,4,2011,0,0,1,0,2,0,0,7
2011-05-01,1,5,2011,0,0,2,0,3,0,0,21
2011-06-01,1,6,2011,0,0,2,0,0,0,1,9
2011-07-01,1,7,2011,1,0,0,0,0,0,0,4
2011-08-01,1,8,2011,9,0,0,0,14,0,0,2
2011-09-01,1,9,2011,0,0,1,0,2,1,0,0
2011-10-01,1,10,2011,20,0,22,0,16,0,1,2
2011-11-01,1,11,2011,2,0,2,0,2,0,2,4
2011-12-01,1,12,2011,4,0,4,0,10,0,0,12
2012-01-01,1,1,2012,13,0,1,1,39,0,0,17
2012-02-01,1,2,2012,78,1,17,9,154,0,1,36
2012-03-01,1,3,2012,29,2,9,23,83,0,0,6
2012-04-01,1,4,2012,7,0,5,1,16,0,0,1
2012-05-01,1,5,2012,5,0,0,0,11,0,0,0
2012-06-01,1,6,2012,157,0,11,2,356,0,0,64
2012-07-01,1,7,2012,228,6,17,3,638,1,2,83
2012-08-01,1,8,2012,253,3,18,3,837,1,0,97
2012-09-01,1,9,2012,335,0,23,10,1107,0,0,123
2012-10-01,1,10,2012,519,7,78,6,1233,0,1,85
2012-11-01,1,11,2012,601,8,110,9,1320,0,0,73
2012-12-01,1,12,2012,699,36,126,6,1409,8,0,90
2013-01-01,1,1,2013,447,29,61,13,1023,2,0,120
2013-02-01,1,2,2013,294,50,38,2,779,2,0,36
2013-03-01,1,3,2013,170,21,10,3,552,14,0,40
2013-04-01,1,4,2013,239,18,17,4,716,18,0,44
2013-05-01,1,5,2013,137,16,17,2,369,16,0,17
2013-06-01,1,6,2013,185,40,24,5,552,21,0,13
2013-07-01,1,7,2013,20,2,8,0,78,16,1,20
2013-08-01,1,8,2013,28,4,6,4,60,83,0,40
2013-09-01,1,9,2013,35,9,8,1,135,48,1,20
2013-10-01,1,10,2013,18,2,6,0,66,3,1,6
2013-11-01,1,11,2013,24,3,2,1,56,0,0,10
2013-12-01,1,12,2013,11,75,5,1,36,4,0,37
2014-01-01,1,1,2014,48,4,9,0,102,6,4,7
2014-02-01,1,2,2014,36,6,16,0,95,0,0,10
2014-03-01,1,3,2014,50,4,16,0,107,7,1,34
2014-04-01,1,4,2014,73,12,28,0,127,5,0,12
2014-05-01,1,5,2014,47,8,12,0,104,3,0,1
2014-06-01,1,6,2014,39,5,9,0,74,1,0,16
2014-07-01,1,7,2014,36,6,9,0,75,0,0,12
2014-08-01,1,8,2014,28,10,4,1,36,0,0,6
2014-09-01,1,9,2014,0,0,0,0,0,0,0,0
2014-10-01,1,10,2014,0,0,0,0,0,0,0,0
2014-11-01,1,11,2014,4,1,0,0,7,0,0,4
2014-12-01,1,12,2014,15,0,23,0,33,0,0,10
2015-01-01,1,1,2015,42,0,61,0,82,0,0,9
2015-02-01,1,2,2015,39,0,72,0,65,0,3,24
2015-03-01,1,3,2015,39,0,90,1,65,23,0,26
2015-04-01,1,4,2015,65,0,171,1,89,12,0,69
2015-05-01,1,5,2015,64,0,190,0,60,0,2,61
2015-06-01,1,6,2015,34,0,145,0,64,0,0,34
2015-07-01,1,7,2015,66,2,162,0,62,0,1,38
2015-08-01,1,8,2015,52,0,51,1,46,10,0,44
2015-09-01,1,9,2015,1,2,5,0,8,1,0,2
2015-10-01,1,10,2015,0,0,5,2,1,0,0,2
2015-11-01,1,11,2015,1,0,14,1,4,0,0,2
2015-12-01,1,12,2015,0,0,3,5,2,0,0,3
2016-01-01,1,1,2016,1,0,2,1,1,0,0,2
2016-02-01,1,2,2016,0,0,4,6,6,2,3,3
2016-03-01,1,3,2016,1,2,1,7,2,2,5,2
