date,agreement,barrel_bomb,battle,chemical,shelling,massacre,air_strike,intervention
2011-04-01,0,0,0,0,2,9,0,0
2011-05-01,0,0,0,0,4,19,0,0
2011-06-01,1,1,0,0,0,4,0,0
2011-07-01,0,0,0,0,0,4,1,0
2011-08-01,0,0,0,0,14,3,9,0
2011-09-01,0,1,0,1,6,0,0,0
2011-10-01,1,24,0,0,32,4,20,0
2011-11-01,2,4,0,0,7,4,2,0
2011-12-01,0,4,0,0,10,13,4,0
2012-01-01,0,1,0,0,46,22,20,2
2012-02-01,1,17,2,0,183,37,85,9
2012-03-01,0,9,2,0,84,6,30,23
2012-04-01,0,5,0,0,16,1,7,1
2012-05-01,0,0,0,0,12,4,6,1
2012-06-01,0,11,0,1,358,70,157,2
2012-07-01,2,19,6,1,639,84,231,3
2012-08-01,0,19,3,1,836,98,252,4
2012-09-01,0,23,0,0,1113,124,331,10
2012-10-01,1,77,7,0,1247,85,520,6
2012-11-01,0,97,6,0,1214,73,547,9
2012-12-01,0,118,35,6,1300,89,644,6
2013-01-01,0,61,28,2,1001,122,442,13
2013-02-01,0,38,51,2,774,36,296,2
2013-03-01,1,10,21,14,553,40,171,3
2013-04-01,0,17,20,37,723,49,244,5
2013-05-01,6,18,18,21,374,22,142,3
2013-06-01,1,26,41,25,555,17,186,8
2013-07-01,1,10,2,19,80,20,22,2
2013-08-01,1,7,7,95,66,49,31,4
2013-09-01,10,9,13,89,294,39,106,6
2013-10-01,4,10,10,7,421,61,152,1
2013-11-01,6,41,12,4,351,43,186,1
2013-12-01,9,39,93,30,439,91,207,5
2014-01-01,17,60,13,39,512,44,222,4
2014-02-01,2,35,9,4,305,26,146,1
2014-03-01,5,48,16,7,443,48,211,11
2014-04-01,7,68,31,5,418,16,215,3
2014-05-01,8,67,55,6,515,3,273,3
2014-06-01,10,55,22,2,472,23,248,3
2014-07-01,10,59,39,1,453,18,235,1
2014-08-01,3,33,29,3,241,8,145,2
2014-09-01,0,0,0,0,0,0,0,0
2014-10-01,0,0,0,0,0,0,0,0
2014-11-01,2,0,2,0,7,4,4,0
2014-12-01,0,23,0,0,36,10,15,0
2015-01-01,0,61,0,0,82,9,42,0
2015-02-01,3,72,0,0,65,24,39,0
2015-03-01,0,90,0,23,65,26,39,1
2015-04-01,0,171,0,12,89,69,65,1
2015-05-01,2,190,0,0,60,61,64,0
2015-06-01,0,145,0,0,64,34,34,0
2015-07-01,1,162,2,0,62,38,66,0
2015-08-01,0,51,0,10,46,44,52,1
2015-09-01,0,5,2,1,8,2,1,0
2015-10-01,0,5,0,0,1,2,0,2
2015-11-01,0,14,0,0,4,2,1,1
2015-12-01,0,3,0,0,2,3,0,5
2016-01-01,0,2,0,0,1,2,1,1
2016-02-01,3,4,0,2,6,3,0,6
2016-03-01,0,0,2,0,0,2,0,1
