year,Country Name,Country_Code,Indicator Name,GDP_capita
2014,Qatar,QAT,"GDP, PPP (constant 2011 international $)",134182.4147
2014,Kuwait,KWT,"GDP, PPP (constant 2011 international $)",69877.98654
2014,United Arab Emirates,ARE,"GDP, PPP (constant 2011 international $)",64562.62007
2014,Saudi Arabia,SAU,"GDP, PPP (constant 2011 international $)",49536.98788
2014,Oman,OMN,"GDP, PPP (constant 2011 international $)",36854.53292
2014,Turkey,TUR,"GDP, PPP (constant 2011 international $)",18869.00693
2014,Lebanon,LBN,"GDP, PPP (constant 2011 international $)",16659.32796
2014,Libya,LBY,"GDP, PPP (constant 2011 international $)",14879.98843
2014,Iraq,IRQ,"GDP, PPP (constant 2011 international $)",14364.83649
2014,Jordan,JOR,"GDP, PPP (constant 2011 international $)",11496.26493
2014,Tunisia,TUN,"GDP, PPP (constant 2011 international $)",10909.84197
2014,"Egypt, Arab Rep.",EGY,"GDP, PPP (constant 2011 international $)",10045.77995
2014,Morocco,MAR,"GDP, PPP (constant 2011 international $)",7146.28198
2014,"Yemen, Rep.",YEM,"GDP, PPP (constant 2011 international $)",3663.307829
