,date,event,group,value
0,2011-04-01,chemical,IS,0
1,2011-04-01,air_strike,IS,0
2,2011-04-01,barrel_bomb,IS,0
3,2011-04-01,massacre,IS,0
4,2011-04-01,shelling,IS,0
5,2011-04-01,battle,IS,0
6,2011-04-01,chemical,IC,0
7,2011-04-01,air_strike,IC,0
8,2011-04-01,barrel_bomb,IC,0
9,2011-04-01,massacre,IC,0
10,2011-04-01,shelling,IC,0
11,2011-04-01,battle,IC,0
12,2011-04-01,chemical,RS,0
13,2011-04-01,air_strike,RS,0
14,2011-04-01,barrel_bomb,RS,0
15,2011-04-01,massacre,RS,0
16,2011-04-01,shelling,RS,0
17,2011-04-01,battle,RS,0
18,2011-04-01,chemical,YPG,0
19,2011-04-01,air_strike,YPG,0
20,2011-04-01,barrel_bomb,YPG,0
21,2011-04-01,massacre,YPG,0
22,2011-04-01,shelling,YPG,0
23,2011-04-01,battle,YPG,0
24,2011-04-01,chemical,HZB,0
25,2011-04-01,air_strike,HZB,0
26,2011-04-01,barrel_bomb,HZB,0
27,2011-04-01,massacre,HZB,0
28,2011-04-01,shelling,HZB,0
29,2011-04-01,battle,HZB,0
30,2011-04-01,chemical,ASS,0
31,2011-04-01,air_strike,ASS,0
32,2011-04-01,barrel_bomb,ASS,0
33,2011-04-01,massacre,ASS,3
34,2011-04-01,shelling,ASS,2
35,2011-04-01,battle,ASS,3
36,2011-05-01,chemical,IS,0
37,2011-05-01,air_strike,IS,0
38,2011-05-01,barrel_bomb,IS,0
39,2011-05-01,massacre,IS,0
40,2011-05-01,shelling,IS,0
41,2011-05-01,battle,IS,0
42,2011-05-01,chemical,IC,0
43,2011-05-01,air_strike,IC,0
44,2011-05-01,barrel_bomb,IC,0
45,2011-05-01,massacre,IC,0
46,2011-05-01,shelling,IC,0
47,2011-05-01,battle,IC,0
48,2011-05-01,chemical,RS,0
49,2011-05-01,air_strike,RS,0
50,2011-05-01,barrel_bomb,RS,0
51,2011-05-01,massacre,RS,0
52,2011-05-01,shelling,RS,0
53,2011-05-01,battle,RS,0
54,2011-05-01,chemical,YPG,0
55,2011-05-01,air_strike,YPG,0
56,2011-05-01,barrel_bomb,YPG,0
57,2011-05-01,massacre,YPG,0
58,2011-05-01,shelling,YPG,0
59,2011-05-01,battle,YPG,0
60,2011-05-01,chemical,HZB,0
61,2011-05-01,air_strike,HZB,0
62,2011-05-01,barrel_bomb,HZB,0
63,2011-05-01,massacre,HZB,0
64,2011-05-01,shelling,HZB,0
65,2011-05-01,battle,HZB,0
66,2011-05-01,chemical,ASS,0
67,2011-05-01,air_strike,ASS,0
68,2011-05-01,barrel_bomb,ASS,0
69,2011-05-01,massacre,ASS,3
