year,Country_Index,Country_Name,Country_Code,Indicator Name,Indicator Code,GDP,GDP_capita,refugee,value1,value2
2011,1,Qatar,QAT,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,2.56E+11,134117.4309,8,0,0.00005965
2011,2,"Yemen, Rep.",YEM,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,87639454154,3616.243909,43,0,0.01189079
2011,3,"Egypt, Arab Rep.",EGY,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,8.44E+11,10071.20526,9,0,0.00089364
2011,4,Iraq,IRQ,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,4.21E+11,13226.94139,323,0,0.02441986
2011,5,Jordan,JOR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,69797089967,11292.20029,193,0,0.01709144
2011,6,Turkey,TUR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.31E+12,17873.69844,19,0,0.00106301
2012,1,Qatar,QAT,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,2.68E+11,132972.3057,8,0,0.00006016
2012,2,"Yemen, Rep.",YEM,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,89804042203,3609.08222,42,0,0.01163731
2012,3,"Egypt, Arab Rep.",EGY,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,8.62E+11,10066.88203,12836,0.00000001,1.27507206
2012,4,Iraq,IRQ,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,4.79E+11,14624.00907,63586,0.00000013,4.34805529
2012,5,Jordan,JOR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,71647552754,11340.22677,238798,0.00000333,21.0576036
2012,6,Turkey,TUR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.34E+12,18032.27298,248466,0.00000019,13.77896177
2013,1,Qatar,QAT,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,2.80E+11,133395.3611,8,0,0.00005997
2013,2,"Yemen, Rep.",YEM,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,93536033748,3663.307829,54,0,0.01474078
2013,3,"Egypt, Arab Rep.",EGY,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,8.81E+11,10050.07183,131659,0.00000015,13.10030438
2013,4,Iraq,IRQ,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,5.11E+11,15123.58085,212809,0.00000042,14.07133682
2013,5,Jordan,JOR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,73674613033,11404.73886,585304,0.00000794,51.32112249
2013,6,Turkey,TUR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.39E+12,18560.10706,585601,0.00000042,31.55159602
2014,1,Qatar,QAT,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,2.91E+11,134182.4147,14,0,0.00010434
2014,2,"Yemen, Rep.",YEM,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,93536033748,3663.307829,2276,0.00000002,0.62129641
2014,3,"Egypt, Arab Rep.",EGY,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,9.00E+11,10045.77995,138381,0.00000015,13.77503795
2014,4,Iraq,IRQ,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,5.00E+11,14364.83649,234196,0.00000047,16.30342261
2014,5,Jordan,JOR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,75955822381,11496.26493,623112,0.0000082,54.20125613
2014,6,Turkey,TUR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.43E+12,18869.00693,1557899,0.00000109,82.56391053
