year,Country_Index,Country_Name,Country_Code,Indicator Name,Indicator Code,GDP,GDP_capita,refugee,value1,value2
2011,1,Qatar,QAT,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,2.56E+11,134117.4309,8,0,0.00005965
2011,2,Kuwait,KWT,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,2.47E+11,76308.59071,10,0,0.00013105
2011,3,United Arab Emirates,ARE,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,5.03E+11,57594.12668,37,0,0.00064243
2011,4,Saudi Arabia,SAU,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.37E+12,47474.04338,14,0,0.0002949
2011,5,Oman,OMN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.36E+11,42479.20132,7,0,0.00016479
2011,6,Turkey,TUR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.31E+12,17873.69844,19,0,0.00106301
2011,7,Lebanon,LBN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,72014278181,16409.25831,124,0,0.00755671
2011,8,Libya,LBY,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,69322560014,11023.43714,0,0,0
2011,9,Iraq,IRQ,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,4.21E+11,13226.94139,323,0,0.02441986
2011,10,Jordan,JOR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,69797089967,11292.20029,193,0,0.01709144
2011,12,"Egypt, Arab Rep.",EGY,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,8.44E+11,10071.20526,9,0,0.00089364
2011,14,"Yemen, Rep.",YEM,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,87639454154,3616.243909,43,0,0.01189079
2012,1,Qatar,QAT,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,2.68E+11,132972.3057,8,0,0.00006016
2012,2,Kuwait,KWT,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,2.64E+11,77072.67843,15,0,0.00019462
2012,3,United Arab Emirates,ARE,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,5.38E+11,60066.53823,16,0,0.00026637
2012,4,Saudi Arabia,SAU,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.44E+12,48830.04296,14,0,0.00028671
2012,5,Oman,OMN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.46E+11,41186.32585,7,0,0.00016996
2012,6,Turkey,TUR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.34E+12,18032.27298,248466,0.00000019,13.77896177
2012,7,Lebanon,LBN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,73598592301,16573.54206,126939,0.00000172,7.65913524
2012,8,Libya,LBY,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.42E+11,22560.30322,0,0,0
2012,9,Iraq,IRQ,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,4.79E+11,14624.00907,63586,0.00000013,4.34805529
2012,10,Jordan,JOR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,71647552754,11340.22677,238798,0.00000333,21.0576036
2012,12,"Egypt, Arab Rep.",EGY,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,8.62E+11,10066.88203,12836,0.00000001,1.27507206
2012,14,"Yemen, Rep.",YEM,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,89804042203,3609.08222,42,0,0.01163731
2013,1,Qatar,QAT,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,2.80E+11,133395.3611,8,0,0.00005997
2013,2,Kuwait,KWT,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,2.67E+11,74181.33029,13,0,0.00017525
2013,3,United Arab Emirates,ARE,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,5.61E+11,62056.15141,16,0,0.00025783
2013,4,Saudi Arabia,SAU,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.48E+12,48963.4548,14,0,0.00028593
2013,5,Oman,OMN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.52E+11,38835.43368,7,0,0.00018025
2013,6,Turkey,TUR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.39E+12,18560.10706,585601,0.00000042,31.55159602
2013,7,Lebanon,LBN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,74260979632,16526.53929,851284,0.00001146,51.51011867
2013,8,Libya,LBY,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.23E+11,19557.05031,16796,0.00000014,0.85882072
2013,9,Iraq,IRQ,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,5.11E+11,15123.58085,212809,0.00000042,14.07133682
2013,10,Jordan,JOR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,73674613033,11404.73886,585304,0.00000794,51.32112249
2013,12,"Egypt, Arab Rep.",EGY,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,8.81E+11,10050.07183,131659,0.00000015,13.10030438
2013,14,"Yemen, Rep.",YEM,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,93536033748,3663.307829,54,0,0.01474078
2014,1,Qatar,QAT,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,2.91E+11,134182.4147,14,0,0.00010434
2014,2,Kuwait,KWT,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,2.62E+11,69877.98654,15,0,0.00021466
2014,3,United Arab Emirates,ARE,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,5.87E+11,64562.62007,28,0,0.00043369
2014,4,Saudi Arabia,SAU,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.53E+12,49536.98788,18,0,0.00036336
2014,5,Oman,OMN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.56E+11,36854.53292,7,0,0.00018994
2014,6,Turkey,TUR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1.43E+12,18869.00693,1557899,0.00000109,82.56391053
2014,7,Lebanon,LBN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,75746199225,16659.32796,1147494,0.00001515,68.87996939
2014,8,Libya,LBY,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,93133609477,14879.98843,18653,0.0000002,1.2535628
2014,9,Iraq,IRQ,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,5.00E+11,14364.83649,234196,0.00000047,16.30342261
2014,10,Jordan,JOR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,75955822381,11496.26493,623112,0.0000082,54.20125613
2014,12,"Egypt, Arab Rep.",EGY,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,9.00E+11,10045.77995,138381,0.00000015,13.77503795
2014,14,"Yemen, Rep.",YEM,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,93536033748,3663.307829,2276,0.00000002,0.62129641
