index,value,year
0,1200,1968
1,1200,1969
2,0,1970
3,0,1971
4,0,1972
5,0,1973
6,0,1974
7,0,1975
8,0,1976
9,0,1977
10,0,1978
11,500,1979
12,502,1980
13,504,1981
14,504,1982
15,526,1983
16,529,1984
17,2599,1985
18,534,1986
19,20,1987
20,881,1988
21,397,1989
22,2148,1990
23,3037,1991
24,4408,1992
25,5404,1993
26,7087,1994
27,7994,1995
28,8609,1996
29,8653,1997
30,8126,1998
31,6695,1999
32,5871,2000
33,4869,2001
34,18913,2002
35,20819,2003
36,21434,2004
37,16401,2005
38,12338,2006
39,13690,2007
40,15211,2008
41,17914,2009
42,18452,2010
43,19931,2011
