date,battle,air_strike,direct_attack,barrel_bomb,shelling,chemical,death,refugee
4/1/11,14,0,36,0,2,0,489,29488
5/1/11,31,0,106,0,3,0,398,11536
6/1/11,76,0,93,0,2,0,328,25629
7/1/11,51,0,29,0,3,0,375,29779
8/1/11,11,0,10,0,19,0,506,63656
9/1/11,10,0,15,0,3,1,491,51320
10/1/11,40,3,101,0,51,0,523,50461
11/1/11,8,1,17,0,4,0,714,100573
12/1/11,24,1,35,0,10,0,889,88711
1/1/12,13,3,94,0,44,0,987,127382
2/1/12,241,10,473,0,212,0,1712,139999
3/1/12,79,19,427,0,133,0,1793,221366
4/1/12,12,1,91,0,23,0,1672,240979
5/1/12,5,0,5,0,12,0,1359,177844
6/1/12,58,32,266,0,421,0,2314,132390
7/1/12,94,62,462,2,755,1,4090,135882
8/1/12,112,117,603,1,974,1,5835,129192
9/1/12,122,150,807,3,1279,0,5165,168117
10/1/12,168,247,685,38,1379,0,4767,101168
11/1/12,135,339,431,5,1472,1,4188,120376
12/1/12,251,330,542,20,1561,9,4610,81606
1/1/13,205,268,552,11,1126,3,4159,95138
2/1/13,162,174,400,4,846,3,3984,75321
3/1/13,85,36,270,3,595,14,4187,94319
4/1/13,96,61,297,5,799,24,3788,90743
5/1/13,89,57,115,3,413,20,3468,79441
6/1/13,140,92,134,0,612,26,2928,78985
7/1/13,21,16,48,2,88,16,2935,62727
8/1/13,47,13,61,2,67,89,3918,52203
9/1/13,50,33,48,5,146,49,2663,60774
10/1/13,22,13,27,1,72,3,2682,16377
11/1/13,44,14,29,0,66,0,2453,12740
12/1/13,95,7,87,4,40,4,3130,18655
1/1/14,46,34,49,38,110,6,3115,8751
2/1/14,45,41,21,60,116,0,3138,17114
3/1/14,90,55,61,31,156,7,2435,201640
4/1/14,68,67,27,23,173,5,2848,22304
5/1/14,68,45,27,45,126,3,2465,568
6/1/14,49,45,36,28,92,1,2212,3680
7/1/14,63,53,28,32,92,0,1849,30602
8/1/14,37,32,15,7,50,0,2016,73767
9/1/14,0,0,0,0,0,0,2059,0
10/1/14,0,0,0,0,0,0,1640,131491
11/1/14,2,5,5,2,8,0,1405,102869
12/1/14,136,61,27,12,33,0,1558,315188
1/1/15,426,97,42,28,83,0,1062,1766
2/1/15,367,77,59,37,67,0,1226,189956
3/1/15,370,90,70,43,77,23,1874,
4/1/15,261,190,93,85,114,13,1617,
5/1/15,238,150,88,103,65,2,1681,
6/1/15,201,90,76,74,65,1,1680,
7/1/15,205,149,80,80,65,0,1381,
8/1/15,130,142,70,26,46,12,1567,
9/1/15,25,1,7,2,8,1,815,
10/1/15,21,6,3,3,1,0,1649,
11/1/15,27,9,5,4,5,0,1666,
12/1/15,19,1,4,5,2,0,1842,
1/1/16,14,2,5,4,1,0,1583,
2/1/16,18,2,7,7,8,2,1337,
3/1/16,30,0,3,4,2,2,,
