"","date","event_type","value"
"1","2011-04-01","battle",14
"2","2011-05-01","battle",31
"3","2011-06-01","battle",76
"4","2011-07-01","battle",51
"5","2011-08-01","battle",11
"6","2011-09-01","battle",10
"7","2011-10-01","battle",40
"8","2011-11-01","battle",8
"9","2011-12-01","battle",24
"10","2012-01-01","battle",13
"11","2012-02-01","battle",241
"12","2012-03-01","battle",79
"13","2012-04-01","battle",12
"14","2012-05-01","battle",5
"15","2012-06-01","battle",58
"16","2012-07-01","battle",94
"17","2012-08-01","battle",112
"18","2012-09-01","battle",122
"19","2012-10-01","battle",168
"20","2012-11-01","battle",135
"21","2012-12-01","battle",251
"22","2013-01-01","battle",205
"23","2013-02-01","battle",162
"24","2013-03-01","battle",85
"25","2013-04-01","battle",96
"26","2013-05-01","battle",89
"27","2013-06-01","battle",140
"28","2013-07-01","battle",21
"29","2013-08-01","battle",47
"30","2013-09-01","battle",50
"31","2013-10-01","battle",22
"32","2013-11-01","battle",44
"33","2013-12-01","battle",95
"34","2014-01-01","battle",46
"35","2014-02-01","battle",45
"36","2014-03-01","battle",90
"37","2014-04-01","battle",68
"38","2014-05-01","battle",68
"39","2014-06-01","battle",49
"40","2014-07-01","battle",63
"41","2014-08-01","battle",37
"42","2014-09-01","battle",0
"43","2014-10-01","battle",0
"44","2014-11-01","battle",2
"45","2014-12-01","battle",136
"46","2015-01-01","battle",426
"47","2015-02-01","battle",367
"48","2015-03-01","battle",370
"49","2015-04-01","battle",261
"50","2015-05-01","battle",238
"51","2015-06-01","battle",201
"52","2015-07-01","battle",205
"53","2015-08-01","battle",130
"54","2015-09-01","battle",25
"55","2015-10-01","battle",21
"56","2015-11-01","battle",27
"57","2015-12-01","battle",19
"58","2016-01-01","battle",14
"59","2016-02-01","battle",18
"60","2016-03-01","battle",30
"61","2011-04-01","air_strike",0
"62","2011-05-01","air_strike",0
"63","2011-06-01","air_strike",0
"64","2011-07-01","air_strike",0
"65","2011-08-01","air_strike",0
"66","2011-09-01","air_strike",0
"67","2011-10-01","air_strike",3
"68","2011-11-01","air_strike",1
"69","2011-12-01","air_strike",1
"70","2012-01-01","air_strike",3
"71","2012-02-01","air_strike",10
"72","2012-03-01","air_strike",19
"73","2012-04-01","air_strike",1
"74","2012-05-01","air_strike",0
"75","2012-06-01","air_strike",32
"76","2012-07-01","air_strike",62
"77","2012-08-01","air_strike",117
"78","2012-09-01","air_strike",150
