,date,day,month,year,battle,air_strike,direct_attack,barrel_bomb,shelling,chemical
0,2011-04-01,1,4,2011,14,0,36,0,2,0
1,2011-05-01,1,5,2011,31,0,106,0,3,0
2,2011-06-01,1,6,2011,76,0,93,0,2,0
3,2011-07-01,1,7,2011,51,0,29,0,3,0
4,2011-08-01,1,8,2011,11,0,10,0,19,0
5,2011-09-01,1,9,2011,10,0,15,0,3,1
6,2011-10-01,1,10,2011,40,3,101,0,51,0
7,2011-11-01,1,11,2011,8,1,17,0,4,0
8,2011-12-01,1,12,2011,24,1,35,0,10,0
9,2012-01-01,1,1,2012,13,3,94,0,44,0
10,2012-02-01,1,2,2012,241,10,473,0,212,0
11,2012-03-01,1,3,2012,79,19,427,0,133,0
12,2012-04-01,1,4,2012,12,1,91,0,23,0
13,2012-05-01,1,5,2012,5,0,5,0,12,0
14,2012-06-01,1,6,2012,58,32,266,0,421,0
15,2012-07-01,1,7,2012,94,62,462,2,755,1
16,2012-08-01,1,8,2012,112,117,603,1,974,1
17,2012-09-01,1,9,2012,122,150,807,3,1279,0
18,2012-10-01,1,10,2012,168,247,685,38,1379,0
19,2012-11-01,1,11,2012,135,339,431,5,1472,1
20,2012-12-01,1,12,2012,251,330,542,20,1561,9
21,2013-01-01,1,1,2013,205,268,552,11,1126,3
22,2013-02-01,1,2,2013,162,174,400,4,846,3
23,2013-03-01,1,3,2013,85,36,270,3,595,14
24,2013-04-01,1,4,2013,96,61,297,5,799,24
25,2013-05-01,1,5,2013,89,57,115,3,413,20
26,2013-06-01,1,6,2013,140,92,134,0,612,26
27,2013-07-01,1,7,2013,21,16,48,2,88,16
28,2013-08-01,1,8,2013,47,13,61,2,67,89
29,2013-09-01,1,9,2013,50,33,48,5,146,49
30,2013-10-01,1,10,2013,22,13,27,1,72,3
31,2013-11-01,1,11,2013,44,14,29,0,66,0
32,2013-12-01,1,12,2013,95,7,87,4,40,4
33,2014-01-01,1,1,2014,46,34,49,38,110,6
34,2014-02-01,1,2,2014,45,41,21,60,116,0
35,2014-03-01,1,3,2014,90,55,61,31,156,7
36,2014-04-01,1,4,2014,68,67,27,23,173,5
37,2014-05-01,1,5,2014,68,45,27,45,126,3
38,2014-06-01,1,6,2014,49,45,36,28,92,1
39,2014-07-01,1,7,2014,63,53,28,32,92,0
40,2014-08-01,1,8,2014,37,32,15,7,50,0
41,2014-09-01,1,9,2014,0,0,0,0,0,0
42,2014-10-01,1,10,2014,0,0,0,0,0,0
43,2014-11-01,1,11,2014,2,5,5,2,8,0
44,2014-12-01,1,12,2014,136,61,27,12,33,0
45,2015-01-01,1,1,2015,426,97,42,28,83,0
46,2015-02-01,1,2,2015,367,77,59,37,67,0
47,2015-03-01,1,3,2015,370,90,70,43,77,23
48,2015-04-01,1,4,2015,261,190,93,85,114,13
49,2015-05-01,1,5,2015,238,150,88,103,65,2
50,2015-06-01,1,6,2015,201,90,76,74,65,1
51,2015-07-01,1,7,2015,205,149,80,80,65,0
52,2015-08-01,1,8,2015,130,142,70,26,46,12
53,2015-09-01,1,9,2015,25,1,7,2,8,1
54,2015-10-01,1,10,2015,21,6,3,3,1,0
55,2015-11-01,1,11,2015,27,9,5,4,5,0
56,2015-12-01,1,12,2015,19,1,4,5,2,0
57,2016-01-01,1,1,2016,14,2,5,4,1,0
58,2016-02-01,1,2,2016,18,2,7,7,8,2
59,2016-03-01,1,3,2016,30,0,3,4,2,2
