year,destination,origin,refugees_value,ac_value
2012,Argentina,Syrian Arab Rep.,40,40
2013,Argentina,Syrian Arab Rep.,159,199
2014,Argentina,Syrian Arab Rep.,233,432
2006,Armenia,Syrian Arab Rep.,0,0
2007,Armenia,Syrian Arab Rep.,0,0
2011,Armenia,Syrian Arab Rep.,6,6
2012,Armenia,Syrian Arab Rep.,136,142
2013,Armenia,Syrian Arab Rep.,11090,11232
2014,Armenia,Syrian Arab Rep.,14994,26226
2004,Australia,Syrian Arab Rep.,103,103
2005,Australia,Syrian Arab Rep.,124,227
2006,Australia,Syrian Arab Rep.,123,350
2007,Australia,Syrian Arab Rep.,78,428
2008,Australia,Syrian Arab Rep.,74,502
2009,Australia,Syrian Arab Rep.,80,582
2010,Australia,Syrian Arab Rep.,68,650
2011,Australia,Syrian Arab Rep.,84,734
2012,Australia,Syrian Arab Rep.,204,938
2013,Australia,Syrian Arab Rep.,265,1203
2014,Australia,Syrian Arab Rep.,302,1505
2004,Austria,Syrian Arab Rep.,75,75
2005,Austria,Syrian Arab Rep.,122,197
2006,Austria,Syrian Arab Rep.,167,364
2007,Austria,Syrian Arab Rep.,255,619
2008,Austria,Syrian Arab Rep.,333,952
2009,Austria,Syrian Arab Rep.,385,1337
2010,Austria,Syrian Arab Rep.,505,1842
2011,Austria,Syrian Arab Rep.,903,2745
2012,Austria,Syrian Arab Rep.,1675,4420
2013,Austria,Syrian Arab Rep.,2748,7168
2014,Austria,Syrian Arab Rep.,2748,9916
2004,Azerbaijan,Syrian Arab Rep.,2,2
2005,Azerbaijan,Syrian Arab Rep.,1,3
2006,Azerbaijan,Syrian Arab Rep.,1,4
2007,Azerbaijan,Syrian Arab Rep.,1,5
2011,Azerbaijan,Syrian Arab Rep.,1,6
2012,Azerbaijan,Syrian Arab Rep.,3,9
2013,Azerbaijan,Syrian Arab Rep.,9,18
2014,Azerbaijan,Syrian Arab Rep.,7,25
2011,Bahrain,Syrian Arab Rep.,0,0
2012,Bahrain,Syrian Arab Rep.,0,0
2013,Barbados,Syrian Arab Rep.,1,1
2014,Barbados,Syrian Arab Rep.,0,1
2004,Belarus,Syrian Arab Rep.,0,0
2005,Belarus,Syrian Arab Rep.,0,0
2012,Belarus,Syrian Arab Rep.,0,0
2013,Belarus,Syrian Arab Rep.,35,35
2014,Belarus,Syrian Arab Rep.,72,107
2004,Belgium,Syrian Arab Rep.,80,80
2005,Belgium,Syrian Arab Rep.,115,195
2006,Belgium,Syrian Arab Rep.,100,295
2007,Belgium,Syrian Arab Rep.,114,409
2008,Belgium,Syrian Arab Rep.,152,561
2009,Belgium,Syrian Arab Rep.,177,738
2010,Belgium,Syrian Arab Rep.,229,967
2011,Belgium,Syrian Arab Rep.,312,1279
2012,Belgium,Syrian Arab Rep.,355,1634
2013,Belgium,Syrian Arab Rep.,1987,3621
2014,Belgium,Syrian Arab Rep.,2620,6241
2004,Benin,Syrian Arab Rep.,1,1
2005,Benin,Syrian Arab Rep.,1,2
2006,Benin,Syrian Arab Rep.,1,3
2007,Benin,Syrian Arab Rep.,1,4
2008,Benin,Syrian Arab Rep.,1,5
2009,Benin,Syrian Arab Rep.,1,6
2010,Benin,Syrian Arab Rep.,1,7
2011,Benin,Syrian Arab Rep.,1,8
2012,Benin,Syrian Arab Rep.,1,9
2013,Benin,Syrian Arab Rep.,1,10
2010,Bolivia (Plurinational State of),Syrian Arab Rep.,0,0
2013,Bolivia (Plurinational State of),Syrian Arab Rep.,3,3
2014,Bolivia (Plurinational State of),Syrian Arab Rep.,6,9
2004,Bosnia and Herzegovina,Syrian Arab Rep.,1,1
2005,Bosnia and Herzegovina,Syrian Arab Rep.,1,2
